#{"t_start": 1654173355.1675243, "env_id": "A1GymEnv-v0"}
r,l,t
-0.171243,41,26.463286
-1.528998,156,121.763983
-0.768368,68,162.902213
-0.099992,16,172.673717
-0.154689,27,189.037833
-0.682383,72,233.091953
-0.32082,26,248.425577
-0.422124,70,290.897676
-0.6728,112,363.526312
-0.59013,91,471.136424
-0.145184,45,498.185419
-0.148612,45,525.099638
-0.177797,26,540.644223
-0.181726,57,574.714646
-0.005631,31,593.401358
-0.75301,80,642.146806
-0.875596,119,717.249204
-0.111632,25,732.179853
-0.201666,23,745.795933
-0.14926,29,763.281534
-0.564796,32,782.570655
-0.035348,21,795.055899
-0.187934,20,806.813045
-0.211014,12,813.815268
-0.222681,42,891.535434
-0.321799,66,930.826292
-0.33472,23,944.441032
-0.427714,47,973.136653
-0.295594,130,1055.106733
-0.119063,29,1072.220388
0.004577,38,1094.702236
0.029063,40,1118.742883
0.077863,40,1142.613974
-0.197889,23,1156.301846
-0.051072,17,1166.396657
0.052659,59,1201.945812
-0.205034,31,1220.667488
-0.140642,23,1234.264472
-0.186001,15,1243.178328
-0.251492,42,1297.594218
-0.097832,22,1311.010224
-0.206428,35,1332.438787
-0.219362,35,1352.924963
-0.392532,53,1388.704492
0.024515,34,1409.123085
-0.065709,53,1440.916484
0.094377,23,1454.654661
-0.173876,41,1479.174959
-0.805238,56,1512.598755
-0.145866,29,1529.909412
-0.346164,39,1553.125779
-0.172222,30,1571.268001
0.019108,32,1590.478818
-0.135059,21,1603.049104
-0.239538,26,1618.675879
0.363036,69,1682.820969
-0.040375,29,1700.072466
-0.03008,18,1710.717726
0.013156,22,1727.808703
-0.003816,30,1745.89569
-0.168131,31,1764.7792
-0.009654,39,1788.122848
0.116108,31,1806.722872
-0.361733,58,1841.528262
0.064569,22,1854.731849
0.125328,16,1864.527026
0.06509,36,1886.202993
0.01768,21,1898.855333
-0.022961,30,1916.659064
0.005447,24,1931.095431
0.009516,21,1943.638329
-0.069745,51,1974.160897
-0.349318,33,1993.744326
-0.059668,81,2045.824333
-0.083843,34,2068.112466
0.114247,46,2095.956868
-0.162993,17,2106.277066
-0.023732,18,2117.18592
0.017615,25,2132.234046
0.093739,35,2153.142359
0.003892,32,2172.384964
-0.127479,45,2199.399515
0.041699,26,2215.074636
-0.017268,12,2222.591705
-0.273648,15,2231.63958
-0.016083,24,2245.932721
0.031002,49,2275.129065
-0.004598,43,2300.865164
0.021312,14,2309.426065
0.039217,17,2319.478131
-0.342117,28,2336.326069
0.12575,40,2364.217532
-0.015656,40,2387.909596
-0.170139,20,2399.934574
-0.084727,48,2428.415814
0.082897,25,2445.190079
0.24154,35,2465.925916
0.052492,31,2484.424698
0.075834,18,2495.070482
0.001648,27,2511.298468
0.08055,33,2531.087149
0.049732,18,2541.929873
0.037167,17,2552.257118
0.056669,28,2568.698271
-0.004795,25,2583.629118
0.073036,51,2613.832774
0.035029,22,2626.880965
-0.092886,49,2660.262255
0.115037,33,2680.190407
-0.135689,24,2694.403527
0.187992,30,2712.384001
0.055899,15,2721.405874
0.100127,15,2730.398482
-0.15111,17,2740.497319
-0.041435,16,2750.010354
0.000344,13,2757.735027
-0.143034,22,2770.92809
0.06524,58,2805.449677
-0.195657,33,2826.756731
-0.079339,23,2840.424206
0.187161,16,2850.009821
-0.105017,16,2859.543899
0.117219,22,2872.719252
-0.021211,17,2882.748779
-0.061683,18,2893.465325
-0.095455,37,2915.582469
-0.127555,17,2925.809785
0.020328,35,2946.629378
-0.055529,22,2959.845955
0.143319,24,2978.234029
0.052457,16,2987.811782
-0.004995,31,3006.212248
-0.056435,18,3016.972767
0.119627,24,3031.383788
-0.045431,44,3057.503232
-0.088146,17,3067.828731
0.0265,36,3089.288196
0.120302,27,3105.388153
0.219874,51,3136.020997
0.26652,28,3152.809142
0.215897,22,3166.002333
0.113092,28,3182.497289
0.022472,35,3206.047241
0.041031,20,3218.425421
0.214773,27,3234.736727
0.051571,15,3244.422842
-0.058047,15,3254.19387
0.115594,18,3265.522742
0.02821,34,3291.225847
0.377563,26,3307.483202
0.071963,30,3326.31302
-0.044116,24,3342.360164
-0.058575,34,3365.428428
0.179124,47,3395.800037
0.279416,63,3435.736785
0.0048,26,3451.820442
-0.047504,14,3460.461234
0.161995,39,3484.34853
-0.248239,27,3500.718211
0.172619,27,3517.201933
0.099607,21,3530.225172
-0.196389,31,3549.272881
0.056956,22,3562.842979
0.134144,14,3571.641994
0.109213,23,3585.806169
-0.010669,15,3595.061164
0.101071,21,3613.471378
0.138266,27,3630.231344
0.200586,29,3647.78329
0.071922,17,3658.25867
0.048449,15,3667.675288
0.02469,32,3687.326654
0.097525,37,3709.84389
-0.022705,25,3725.25845
0.091595,15,3734.39399
0.129537,31,3753.350456
0.051197,31,3772.25509
0.258456,29,3790.107917
0.188522,38,3813.235199
0.062926,19,3824.863465
0.120031,20,3836.975238
0.107934,18,3847.949526
0.102505,29,3865.86517
0.080679,36,3887.778949
0.203152,36,3909.650483
0.065409,27,3929.994002
0.016201,12,3937.558749
0.16794,26,3954.086006
0.213393,26,3970.022817
0.115547,30,3989.487644
0.268913,19,4004.123429
0.161491,18,4015.129871
0.114125,23,4029.264411
0.07315,21,4041.985428
0.108175,12,4049.465587
0.016121,28,4066.614845
0.067695,12,4073.872963
0.097872,55,4107.570511
0.028339,21,4120.530904
-0.063463,21,4133.328662
-0.016587,15,4142.521921
0.130675,27,4159.042878
0.249986,32,4178.431736
-0.02814,13,4186.304193
0.169326,22,4199.772535
0.073319,22,4212.717622
-0.037522,14,4220.995097
0.065715,11,4227.507061
-0.112675,27,4247.769797
-0.009241,22,4260.836267
0.207235,42,4285.682218
0.153469,25,4300.337747
0.171991,44,4326.384809
0.047333,15,4335.329591
0.108077,19,4346.412807
0.339361,57,4382.191613
0.206581,35,4402.931261
0.117959,20,4414.707932
-0.111461,24,4428.934747
0.161273,24,4442.931687
0.223719,21,4455.267373
0.51222,77,4501.434331
0.153269,19,4512.805209
-0.025412,20,4524.709002
0.188152,45,4551.408233
0.281505,36,4576.86915
0.026204,16,4586.35617
0.17731,28,4602.865542
0.326608,57,4637.467701
0.03732,28,4654.24748
0.016398,16,4663.819932
-0.020939,18,4674.744578
0.067838,31,4693.888014
0.109208,18,4704.966146
0.087636,18,4715.921237
0.051434,18,4726.823705
0.050573,14,4735.342565
0.113004,28,4752.401584
-0.062586,36,4775.590418
0.099274,15,4784.710966
0.244455,43,4810.941047
0.193053,53,4843.161669
0.296283,23,4857.150212
-0.202667,39,4884.777062
0.058873,31,4903.675271
0.273193,41,4928.4735
0.145475,19,4940.061427
0.266586,42,4965.745441
-0.05411,24,4980.438785
0.119488,18,4991.327699
0.084084,30,5009.603596
0.225462,31,5028.475405
0.197291,18,5039.377928
0.12769,21,5052.077048
0.465999,41,5076.733636
0.245757,40,5100.985631
0.09139,32,5120.60162
-0.125771,50,5152.22646
0.309568,43,5179.150369
0.456911,70,5225.782013
-0.025506,36,5247.891689
0.085719,30,5265.758722
0.235478,34,5286.675726
0.172544,31,5305.412974
0.278855,53,5337.746483
0.223824,44,5364.684146
0.19712,21,5377.296688
0.419451,49,5407.629799
0.148023,18,5418.590538
0.251502,32,5438.017289
0.288352,35,5459.189428
0.235128,46,5486.902952
0.534839,27,5507.304665
0.815398,77,5555.68612
