#{"t_start": 1654173347.2507124, "env_id": "A1GymEnv-v0"}
r,l,t
-0.168203,33,29.001935
-0.263759,50,59.444097
-0.563767,56,94.632023
-0.306186,40,118.509068
-0.393596,55,151.628025
-1.101107,66,191.508459
-0.323171,30,209.897314
-0.172915,19,222.241075
-0.222233,22,235.220318
-0.511851,83,285.052546
-0.772802,53,317.111906
-0.390905,30,339.123169
-0.562288,51,370.915101
-0.229446,40,447.926783
-0.237252,39,471.264831
-0.653962,77,517.511343
-0.317978,46,545.060066
-0.208437,31,563.584776
-0.104732,45,590.522311
-0.488347,53,622.434452
-0.789708,66,662.808743
-0.119201,46,694.33758
-0.591793,72,737.096276
-0.356679,45,764.019521
-0.195551,30,782.230596
-0.252054,77,880.563498
-0.061549,22,893.597156
-0.120689,18,904.292929
-0.326803,31,922.819872
-0.327107,39,945.942645
-0.267952,14,954.190476
-0.073104,26,970.212093
-0.099272,29,987.885798
-0.220924,83,1037.794658
-0.10461,26,1057.136608
-0.15086,27,1073.10321
-0.198005,26,1088.514794
-0.031803,25,1103.316161
-0.138065,22,1116.536929
-0.041813,31,1135.0153
-0.269216,63,1172.581759
-0.024686,18,1183.285974
-0.052476,26,1198.888217
-0.184841,21,1211.864307
-0.192487,46,1239.287629
-0.110698,24,1253.515444
-0.07644,20,1294.087768
-0.014483,64,1333.876255
-0.287536,27,1349.783207
-0.464692,74,1397.926469
-0.015768,10,1403.997824
-0.137675,36,1425.48509
-0.1368,52,1456.716738
0.069353,20,1468.623321
-0.025856,31,1487.189845
-0.289314,26,1502.712511
-0.017381,14,1510.952254
-0.162119,51,1541.432239
-0.076217,25,1556.364755
-0.31614,23,1570.354615
0.037704,25,1585.187506
-0.247701,21,1597.857224
-0.066098,40,1621.718741
-0.223823,19,1633.305153
0.346517,48,1661.875165
0.374809,43,1710.418665
-0.087724,30,1732.153379
0.03602,24,1746.604714
-0.425805,31,1765.6144
-0.136957,24,1780.016871
-0.043767,38,1802.670021
-0.485558,38,1825.548078
0.119863,53,1857.414069
-0.092982,39,1881.011925
-0.102429,19,1892.381773
0.015467,25,1907.472065
-0.16645,23,1921.185404
0.055038,24,1935.401009
-0.024217,48,1964.231012
-0.10149,45,1991.005584
0.049034,18,2001.744866
-0.195589,28,2018.430842
-0.059438,17,2028.369501
0.112432,47,2060.345402
-0.094082,24,2076.69671
0.040541,29,2094.223779
0.053056,28,2111.203199
-0.007022,14,2119.713628
0.157352,22,2133.012762
0.060816,14,2141.441527
-0.048958,43,2167.131147
-0.040267,15,2176.207042
0.025724,17,2186.499323
0.136936,54,2218.895082
-0.033441,45,2246.145725
0.210241,36,2267.54376
-0.074557,68,2308.294698
0.061513,13,2316.190942
0.03235,14,2324.468317
0.210502,25,2339.531649
0.028732,32,2362.527062
-0.12703,16,2372.219387
-0.035222,50,2401.990894
-0.247582,95,2460.300237
-0.008386,25,2475.16349
0.067381,13,2482.862996
0.19637,42,2507.852073
-0.06399,17,2518.063833
0.069211,30,2536.12251
-0.037511,20,2548.103352
-0.215814,34,2568.466979
-0.122056,45,2595.284947
0.03588,22,2608.157264
0.017987,45,2634.886888
-0.018728,28,2651.462307
0.027696,38,2678.625693
-0.033531,15,2687.537332
-0.017367,16,2697.120651
-0.025957,17,2707.240162
-0.35168,76,2752.661952
0.194124,34,2772.888847
0.179105,25,2787.911052
0.208673,23,2801.521847
0.107711,29,2818.88775
0.140794,36,2841.935542
0.072957,23,2855.618102
0.121749,14,2863.985175
0.076264,48,2892.55362
0.185289,19,2903.794228
-0.007412,26,2919.338068
0.093287,22,2932.585999
0.152086,23,2946.299417
0.01325,19,2957.646014
0.203536,21,2974.22812
0.125335,25,2989.159908
-0.058101,38,3011.841992
0.099659,27,3027.962678
-0.00597,35,3048.807249
0.102478,15,3057.795909
0.210833,32,3076.965621
0.111001,23,3090.712684
-0.34451,30,3108.611744
-0.096371,23,3122.46769
-0.098895,17,3132.664233
-0.021236,26,3148.07396
0.071504,23,3162.006456
-0.085036,34,3182.20824
0.135748,77,3231.205246
-0.118023,30,3249.8327
